719	281	3	888897264
73	923	3	888793388
452	480	5	875261261
405	205	3	885546025
296	357	5	884197068
346	642	3	874949952
409	22	2	881108077
714	284	3	892777438
798	692	4	875743140
889	55	4	880181191
860	663	3	885991101
940	4	2	885922040
92	720	3	875813022
643	663	4	891447747
825	1049	3	880756834
269	716	4	891451111
303	1011	2	879484282
651	116	2	879348966
251	597	3	886272514
187	663	3	879465242
863	1022	2	889289569
49	419	4	888067691
454	414	2	888267226
876	48	5	879428481
846	430	3	883947778
293	54	3	888907210
207	754	4	879577345
347	172	5	881653933
488	754	4	891293606
727	455	3	883709671
152	15	5	880148843
804	212	3	879445933
387	513	5	886483330
587	879	1	892871536
393	189	4	887745717
698	181	3	886366141
682	578	3	888522575
323	22	5	878739743
193	362	3	889122992
660	24	3	891198277
6	125	3	883599670
590	255	1	879439374
308	826	3	887739427
561	343	4	885807035
639	414	3	891240719
267	1073	5	878974783
747	318	5	888732899
626	264	1	878771476
640	391	3	874778756
745	425	4	880123540
466	346	3	890283056
144	1	4	888104063
792	596	3	877910241
367	7	5	876689878
671	182	4	884035685
160	603	4	876861754
203	150	5	880434278
684	15	5	878759758
474	79	5	887924027
10	13	3	877892050
407	635	3	876345934
373	139	3	877111422
484	385	4	891195416
301	420	3	882077285
201	272	3	886013700
766	182	4	891309053
184	378	4	889909551
864	732	4	888888067
661	96	4	876015607
450	141	3	882377726
487	710	4	883445721
92	846	3	886443471
771	462	3	880659426
916	76	3	880845049
21	995	2	874950932
280	416	5	891701666
363	919	5	891494659
758	1527	3	888039070
586	77	3	884065719
927	826	4	879181451
833	428	2	875134110
412	288	4	879716566
654	476	3	887863914
933	127	5	874853898
878	699	1	880871600
189	14	5	893263994
12	97	5	879960826
519	680	5	883248595
392	270	4	891037437
271	315	4	885847170
482	988	4	887643499
899	471	4	884120007
435	562	5	884133819
551	405	3	892783612
20	118	4	879668442
523	67	4	883702654
543	735	4	874863269
429	124	4	882384821
487	367	3	883530674
871	1388	4	888193136
932	611	5	891250418
184	124	5	889907652
308	166	3	887737837
518	1114	2	876824079
916	1101	4	880844419
865	21	2	880144229
308	537	4	887739136
579	202	5	880952270
524	259	3	884320358
176	458	4	886048305
880	1059	4	880166939
314	257	5	877886413
454	732	4	888267560
686	12	5	879545758
81	284	3	876533894
102	732	3	888804089
90	690	4	891383319
396	823	2	884646647
181	289	4	878961332
373	88	4	877106623
933	391	1	874939230
435	585	3	884133447
295	144	4	879518166
117	758	2	881011217
32	276	4	883717913
804	1210	2	879447476
2	257	4	888551062
128	179	3	879967767
592	13	5	882608401
669	522	4	892550196
758	134	5	881975005
339	568	3	891035061
707	527	5	880061699
425	689	2	890346517
401	237	3	891032367
450	523	5	882371904
890	187	5	882403221
239	499	5	889179808
308	1121	3	887737647
495	174	5	888632319
757	232	3	888466435
653	294	2	878853618
936	13	4	886832596
265	100	5	875320601
864	1047	3	888888680
912	204	2	875966202
625	172	4	891263057
423	879	3	891394558
542	150	2	886532908
449	1404	5	880410801
190	281	3	891042916
38	742	5	892430001
887	200	1	881380883
47	258	4	879438984
826	71	5	885690342
486	148	2	879874903
823	1	4	878438206
440	988	1	891577504
212	286	4	879303468
782	682	4	891498513
867	690	5	880077751
4	359	5	892002352
328	905	3	888641999
178	22	5	882826187
378	386	3	880332643
749	418	5	878847498
474	996	3	887927153
931	471	3	891036506
666	1021	5	880139669
763	730	5	878923456
385	506	2	879445291
13	174	4	882139829
308	512	5	887736584
506	82	5	874873745
92	226	3	875813412
643	505	4	891447260
294	546	4	877819761
802	441	3	875985840
221	257	4	875244475
213	143	5	878955766
871	342	4	888192475
43	172	4	883955135
896	318	4	887158294
308	501	4	887740099
399	386	3	882349353
532	98	5	893119438
315	127	5	879799423
44	123	4	878346532
690	72	2	881177553
698	357	4	886366454
539	45	4	879788345
256	294	3	882150053
13	288	1	882396790
403	866	4	879786294
782	987	3	891499660
264	25	4	886124197
551	684	5	892783212
215	11	2	891436024
214	56	5	892668130
454	487	4	888266565
119	70	3	874781829
859	293	4	885776056
594	199	4	877816302
592	64	5	882956039
311	1232	4	884366439
686	97	2	879546847
28	529	4	881957310
532	508	4	888636373
207	845	3	881681663
532	425	4	888634801
490	237	1	875427993
214	1129	4	892668249
432	405	4	889416490
188	498	5	875073828
476	655	4	883365019
330	554	3	876547500
409	1242	2	881106087
207	317	4	875506634
58	246	5	884304592
490	993	1	875427739
534	1047	4	877808361
572	813	4	879449573
870	520	5	875050559
500	708	5	883873999
774	569	2	888557857
18	66	3	880131728
846	588	4	883949380
504	28	4	887839810
82	109	1	884714204
838	419	5	887066989
840	134	3	891204160
56	869	3	892683895
299	480	4	878191995
506	173	4	874874308
230	582	4	880485380
497	173	5	878759659
521	721	4	885253337
690	780	4	881177910
896	1042	2	887161151
151	775	2	879543366
486	322	2	879874262
406	1126	3	879446588
405	1239	1	885548163
268	554	3	875744388
619	288	3	885953931
347	693	5	881654156
311	51	4	884366010
339	214	3	891033226
246	121	4	884922627
44	470	3	878348499
648	169	5	882212651
638	550	5	876695059
774	452	1	888557805
472	22	5	892790953
749	420	4	878849682
95	204	5	879197562
608	86	5	880403484
281	271	5	881200457
13	418	2	882398763
769	597	2	885424001
695	895	1	888805864
561	494	4	885808824
294	322	1	889243393
624	689	3	891961187
425	310	3	890346411
788	4	3	880868401
519	327	4	883248134
330	385	5	876546378
537	133	4	886030707
311	751	3	884363758
627	9	4	879530014
1	74	1	889751736
840	157	4	891208998
401	537	4	891033466
181	1151	1	878963304
371	42	3	880435397
757	62	3	888466758
916	117	2	880843509
654	785	4	887864976
758	841	3	882055193
318	137	4	884494652
938	1254	1	891357019
294	544	4	877819673
554	678	3	876231229
12	88	5	879960826
299	481	3	877880566
320	976	2	884749567
655	1113	3	887427810
690	120	1	881179469
735	50	5	876698683
835	285	4	891032792
286	636	3	877533185
913	69	2	880757553
70	678	3	884063627
736	294	3	878709025
606	157	4	880926018
514	582	4	875318224
666	172	3	880139090
194	81	2	879523576
637	50	4	882901146
831	266	3	891354338
497	230	2	879310762
90	863	4	891384114
609	287	5	886894940
731	196	5	886186811
312	459	4	891698365
316	162	3	880854472
566	405	5	881650943
63	408	4	875747242
13	907	1	884538485
162	151	3	877636191
92	655	4	875654533
824	678	3	877021121
660	1615	2	891198441
743	748	4	881277656
11	211	3	891905003
856	294	4	891489502
450	613	4	887660650
362	321	2	885019435
625	486	3	891953617
328	326	4	885044607
592	249	4	882608795
438	1028	2	879868529
505	510	3	889334477
262	735	4	879793854
936	100	4	886832092
930	235	2	879535207
235	318	5	889654971
17	1	4	885272579
286	462	5	877531537
130	765	4	876252420
326	216	2	879876235
49	168	5	888068686
536	510	4	882359838
593	318	5	875671413
935	125	4	884472575
389	72	3	880614164
828	170	3	891037231
207	290	2	878104627
524	514	5	884634938
178	724	4	882827433
328	183	5	885045805
200	432	5	884128458
276	385	4	874792547
886	451	3	876033965
521	195	4	884477775
854	591	2	882812451
128	462	4	879966729
181	1363	1	878962279
889	566	3	880181275
130	295	3	874953698
119	382	5	874781742
741	186	5	891455317
930	8	3	879535713
234	1020	4	892078890
396	1399	3	884645942
916	246	5	880843318
624	742	4	879793093
630	121	4	885666823
56	11	4	892676376
314	276	1	877886413
271	124	4	886105886
798	265	5	875915777
314	747	1	877889698
618	151	3	891309514
236	286	5	890115777
109	1135	4	880582976
732	937	4	882589967
398	79	4	875660535
804	4	4	879442192
716	1020	5	879795314
79	258	5	891271308
468	4	5	875296868
156	646	4	888185947
567	302	4	882426300
735	258	4	876697561
550	300	4	883425652
18	973	3	880129595
56	523	4	892676970
257	14	5	879029742
130	254	2	876251160
373	1066	4	877106233
805	546	2	881703473
880	71	4	880241289
313	8	3	891014551
577	665	4	880475644
48	1063	3	879434654
350	89	4	882347465
279	283	3	875296652
378	159	3	880056887
1	231	1	876893031
452	945	4	888323595
398	12	3	875658898
592	268	5	882607286
870	710	3	875680212
554	245	3	876231229
170	333	4	886190330
385	87	3	879441942
780	520	4	891363904
